Periode,Produksi (Ton)
Januari 2017,195.360
Februari 2017,173.515
Maret 2017,167.142
April 2017,156.883
Mei 2017,150.850
Juni 2017,172.427
Juli 2017,179.329
Agustus 2017,172.701
September 2017,185.396
Oktober 2017,167.787
November 2017,156.107
Desember 2017,191.937
Januari 2018,176.015
Februari 2018,180.036
Maret 2018,172.195
April 2018,182.541
Mei 2018,153.335
Juni 2018,150.121
Juli 2018,166.095
Agustus 2018,195.127
September 2018,186.461
Oktober 2018,180.959
November 2018,178.060
Desember 2018,156.718
Januari 2019,169.053
Februari 2019,151.080
Maret 2019,164.715
April 2019,151.985
Mei 2019,184.932
Juni 2019,165.218
Juli 2019,166.928
Agustus 2019,169.316
September 2019,195.867
Oktober 2019,196.833
November 2019,184.483
Desember 2019,195.710
Januari 2020,154.464
Februari 2020,178.551
Maret 2020,195.001
April 2020,194.249
Mei 2020,170.099
Juni 2020,185.769
Juli 2020,190.540
Agustus 2020,170.626
September 2020,179.414
Oktober 2020,157.831
November 2020,187.507
Desember 2020,198.880
Januari 2021,153.135
Februari 2021,159.788
Maret 2021,178.558
April 2021,180.267
Mei 2021,157.435
Juni 2021,180.913
Juli 2021,176.474
Agustus 2021,173.992
September 2021,180.991
Oktober 2021,157.498
November 2021,192.826
Desember 2021,150.712
Januari 2022,179.172
Februari 2022,160.016
Maret 2022,151.147
April 2022,169.908
Mei 2022,150.699
Juni 2022,162.175
Juli 2022,185.047
Agustus 2022,157.354
September 2022,182.888
Oktober 2022,161.804
November 2022,170.093
Desember 2022,171.405
